patient_id	sample_id	sample_type	read_length	alignment
CGPLPA217	CGPLPA217T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA217T.hg19.cram
CGPLPA218	CGPLPA218T_rep	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA218T_rep.hg19.cram
CGPLPA219	CGPLPA219T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA219T.hg19.cram
CGPLPA220	CGPLPA220T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA220T.hg19.cram
CGPLPA221	CGPLPA221T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA221T.hg19.cram
CGPLPA222	CGPLPA222T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA222T.hg19.cram
CGPLPA223	CGPLPA223T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA223T.hg19.cram
CGPLPA224	CGPLPA224T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA224T.hg19.cram
CGPLPA226	CGPLPA226T	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA226T.hg19.cram
CGPLPA765	CGPLPA765T1	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA765T1.hg19.cram
CGPLPA766	CGPLPA766T1	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA766T1.hg19.cram
CGPLPA767	CGPLPA767T2	tumor	150	/dcs04/scharpf/data/chruban/projects/checkpac/081522_TNrealign/delfi_3.0/cram/CGPLPA767T2.hg19.cram
