id,ARTEMIS_single_DELFI_SSLs_Ensemble,ARTEMIS_Ensemble,ARTEMIS_Mathios_Ensemble
CGPLPA217P,0.971444596,0.674229162,0.930567467
CGPLPA217P1,0.982443015,0.654817707,0.926695167
CGPLPA217P2,0.351230358,0.347295668,0.560691575
CGPLPA217P3,0.957486611,0.48291429,0.858002567
CGPLPA217P4,0.852701289,0.400020287,0.71064915
CGPLPA217P5,0.252115087,0.243974496,0.178985989
CGPLPA217P6,0.92036729,0.673965047,0.869529073
CGPLPA217P7,0.854508894,0.521473199,0.914128417
CGPLPA217P8,0.988496992,0.773136784,0.977506991
CGPLPA218P,0.907820482,0.408251362,0.563525722
CGPLPA218P1,0.361679347,0.238312968,0.189045153
CGPLPA219P1,0.201845339,0.322544458,0.091925165
CGPLPA219P2,0.13229926,0.476721434,0.104499507
CGPLPA219P3,0.175359675,0.373821165,0.105531526
CGPLPA219P4,0.298455934,0.442728445,0.144333522
CGPLPA219P5,0.446585117,0.550743958,0.219982387
CGPLPA219P6,0.666911828,0.657285643,0.452621416
CGPLPA220P1,0.028568625,0.037816397,0.019124203
CGPLPA220P2,0.91206383,0.17078232,0.749769904
CGPLPA220P3,0.986840767,0.714155885,0.949678091
CGPLPA221P,0.9696252,0.547688966,0.947893805
CGPLPA221P2,0.97204926,0.483197503,0.928146183
CGPLPA221P3,0.983227214,0.644079287,0.952345018
CGPLPA222P,0.107739617,0.056681659,0.032764701
CGPLPA222P1,0.244303028,0.212867064,0.108089326
CGPLPA222P10,0.055641991,0.062676369,0.029667417
CGPLPA222P11,0.053020282,0.045663088,0.023015896
CGPLPA222P12,0.030394509,0.057349604,0.027017054
CGPLPA222P13,0.028856079,0.100928667,0.032756404
CGPLPA222P14,0.064998945,0.060517164,0.028614813
CGPLPA222P15,0.261345413,0.171368179,0.066079132
CGPLPA222P16,0.16706295,0.077571689,0.039974463
CGPLPA222P17,0.052003178,0.045083886,0.022280814
CGPLPA222P2,0.034441981,0.119979929,0.039481923
CGPLPA222P3,0.023490434,0.068553822,0.023637006
CGPLPA222P4,0.026790886,0.056373351,0.023083083
CGPLPA222P5,0.059933893,0.107072499,0.036022935
CGPLPA222P7,0.031716668,0.056577479,0.025624822
CGPLPA222P8,0.026456983,0.066447401,0.028421332
CGPLPA222P9,0.03841063,0.06890696,0.02703276
CGPLPA223P,0.977075057,0.542462878,0.913339829
CGPLPA223P10,0.037764734,0.087221045,0.029696974
CGPLPA223P11,0.034628258,0.034625931,0.018886541
CGPLPA223P12,0.044712443,0.052743312,0.019260367
CGPLPA223P14,0.052722246,0.103949988,0.039087452
CGPLPA223P15,0.038114114,0.066455766,0.023849559
CGPLPA223P16,0.03358414,0.06528417,0.028415182
CGPLPA223P17,0.030659123,0.10226156,0.050157157
CGPLPA223P18,0.02778461,0.051137915,0.024541322
CGPLPA223P2,0.049688694,0.201305926,0.059305391
CGPLPA223P3,0.06054545,0.115652851,0.044568243
CGPLPA223P6,0.131250425,0.235611915,0.069031303
CGPLPA223P7,0.07267237,0.06044159,0.037321287
CGPLPA223P8,0.088027445,0.088249468,0.035298588
CGPLPA223P9,0.028724748,0.041459998,0.017049335
CGPLPA224P,0.963409077,0.396311409,0.898026192
CGPLPA224P1,0.139496648,0.053288799,0.116291704
CGPLPA224P10,0.034345527,0.079995368,0.033693422
CGPLPA224P11,0.048360127,0.029065994,0.018732922
CGPLPA224P12,0.045625284,0.02761575,0.016255802
CGPLPA224P13,0.068885096,0.041400121,0.026801185
CGPLPA224P14,0.052165247,0.027795549,0.016376224
CGPLPA224P15,0.083793852,0.041263294,0.034813187
CGPLPA224P16,0.064357747,0.029707238,0.019547138
CGPLPA224P17,0.091914261,0.036584472,0.030034658
CGPLPA224P18,0.084489216,0.029350764,0.019106579
CGPLPA224P19,0.130874974,0.032894898,0.03040878
CGPLPA224P2,0.135133079,0.083021601,0.028415743
CGPLPA224P20,0.067120608,0.038005348,0.018962386
CGPLPA224P21,0.051345439,0.032069356,0.019542245
CGPLPA224P22,0.082890881,0.035182792,0.027428325
CGPLPA224P23,0.091914377,0.044619368,0.025464066
CGPLPA224P24,0.098483462,0.175275885,0.129783254
CGPLPA224P25,0.085461518,0.034878059,0.018975268
CGPLPA224P3,0.062492957,0.184515331,0.104971642
CGPLPA224P4,0.35434528,0.386699796,0.590794011
CGPLPA224P6,0.177209355,0.10877502,0.107821323
CGPLPA224P7,0.048366007,0.030712441,0.018815992
CGPLPA224P8,0.06619726,0.034850923,0.026017102
CGPLPA224P9,0.099643304,0.026349818,0.0161
CGPLPA226P,0.16544007,0.074712976,0.050877678
CGPLPA226P1,0.160028341,0.071901241,0.038628104
CGPLPA226P2,0.279461539,0.07658877,0.052515914
CGPLPA765P,0.983874132,0.652175675,0.952596146
CGPLPA765P1,0.983877323,0.652344387,0.952928989
CGPLPA765P2,0.979742627,0.581951758,0.943760895
CGPLPA766P,0.983334537,0.641297432,0.955042226
CGPLPA766P1,0.983334566,0.641297412,0.955042562
CGPLPA767P,0.431885819,0.488326137,0.141824732
CGPLPA767P1,0.380751154,0.440344329,0.12921022
CGPLPA767P2,0.409779419,0.508566949,0.188663309
CGPLPA767P3,0.234279195,0.209759702,0.171837082
CGPLPA767P4,0.682711709,0.798475344,0.623716808
CGPLPA767P5,0.477596458,0.544178727,0.312202466
CGPLPA767P6,0.720068401,0.858709656,0.464700308
CGPLPA768P,0.039969554,0.112965105,0.042752107
CGPLPA768P1,0.029826342,0.112467471,0.040813012
CGPLPA768P2,0.112225548,0.213028067,0.080148027
CGPLPA768P3,0.111408582,0.123161775,0.044719783
CGPLPA768P4,0.715225757,0.657418895,0.364360013
CGPLPA768P5,0.992015429,0.88172944,0.98940894
CGPLPA768P6,0.991056346,0.839989259,0.966284562
CGPLPA769P,0.992517253,0.887425218,0.966282625
CGPLPA769P1,0.992513725,0.887425218,0.966282625
CGPLPA770P,0.961465873,0.445648171,0.885269301
CGPLPA770P1,0.952120378,0.35966304,0.872307538
CGPLPA770P2,0.886405648,0.140859676,0.479056591
CGPLPA770P3,0.980864154,0.598559882,0.902241179
CGPLPA770P4,0.992434894,0.884074226,0.984882257
CGPLPA770P5,0.985910887,0.693119254,0.941547688
CGPLPA770P6,0.97356119,0.498210112,0.904061073
CGPLPA770P7,0.976196751,0.535555387,0.88989646
CGPLPA771P,0.89148051,0.311435663,0.784821651
CGPLPA771P1,0.443586028,0.072193454,0.136853247
CGPLPA771P2,0.990767931,0.823098164,0.980941149
CGPLPA772P,0.983010203,0.64196856,0.950320604
CGPLPA772P1,0.963022164,0.437857294,0.890905831
CGPLPA772P2,0.474459983,0.115166146,0.213335081
CGPLPA772P3,0.99221197,0.875332812,0.986454568
CGPLPA773P,0.965466134,0.480760047,0.657142072
CGPLPA773P1,0.557237107,0.148443395,0.168022747
CGPLPA773P2,0.102928305,0.065796296,0.039270595
CGPLPA773P6,0.979511865,0.653213503,0.645923641
CGPLPA774P,0.992510233,0.887138971,0.986936257
CGPLPA774P2,0.988363686,0.752133372,0.966444635
CGPLPA775P,0.916193044,0.415093662,0.786952765
CGPLPA775P1,0.963772829,0.418205437,0.904259955
CGPLPA775P2,0.983874513,0.651487602,0.951957212
CGPLPA775P3,0.973833298,0.501265299,0.920213781
CGPLPA775P4,0.976736343,0.537911927,0.93128496
CGPLPA776P,0.980557826,0.593612609,0.931669466
CGPLPA776P1,0.980557798,0.593612599,0.931669464
CGPLPA776P2,0.973475618,0.497211062,0.914637916
CGPLPA776P3,0.947312237,0.327927542,0.847446737
CGPLPA776P4,0.976187252,0.530642315,0.910664695
CGPLPA777P,0.991157181,0.836263849,0.975074508
CGPLPA777P1,0.991157233,0.836265649,0.975074711
CGPLPA778P,0.78965831,0.0620825,0.453574252
CGPLPA778P1,0.12414154,0.140195782,0.044999597
CGPLPA778P2,0.073578116,0.039470174,0.020072602
CGPLPA779P,0.081173114,0.345218933,0.178830697
CGPLPA779P1,0.055912393,0.177233513,0.101369601
CGPLPA779P2,0.032603385,0.092471431,0.03974255
CGPLPA779P3,0.076352581,0.282288856,0.124228558
CGPLPA780P,0.93427554,0.208824735,0.902722857
CGPLPA780P1,0.934266458,0.208779793,0.902707699
CGPLPA781P,0.983174854,0.648413435,0.964779786
CGPLPA781P1,0.966123604,0.584109976,0.957489354
CGPLPA781P2,0.993501565,0.930596774,0.989574817
CGPLPA781P3_1,0.991474816,0.876119845,0.984015165
CGPLPA781P4,0.9816185,0.615768011,0.919547412
CGPLPA781P5,0.983931173,0.772928912,0.959797878
CGPLPA781P6,0.99215941,0.873703354,0.984248363
CGPLPA782P,0.037760004,0.051216925,0.023161053
CGPLPA782P1,0.126356019,0.283522093,0.121699873
CGPLPA782P2,0.065599763,0.178374041,0.043211213
CGPLPA782P3,0.068575882,0.038969012,0.054873803
CGPLPA782P4,0.043182218,0.072943592,0.045652169
CGPLPA782P5,0.188501526,0.232100586,0.304377596
CGPLPA782P6,0.066974372,0.167664539,0.057730121
CGPLPA784P,0.273355906,0.064205354,0.169728786
CGPLPA784P1,0.212467188,0.096192537,0.063854634
CGPLPA784P2,0.655126944,0.146377269,0.406673795
CGPLPA785P,0.748467187,0.413342081,0.686933578
CGPLPA786P,0.713326864,0.848605369,0.989309715
CGPLPA786P1,0.713324956,0.848601727,0.98930948
CGPLPA786P2,0.584731901,0.675558674,0.969041032
CGPLPA786P3,0.686293922,0.754424041,0.980558461
CGPLPA787P,0.983320849,0.641044284,0.951821576
CGPLPA787P1,0.863943373,0.641041643,0.951821241
CGPLPA787P10,0.983308743,0.641044545,0.951821609
CGPLPA787P11,0.992028433,0.868047509,0.990105281
CGPLPA787P12,0.99101564,0.831415431,0.980755419
CGPLPA787P2,0.035510139,0.047080711,0.028254472
CGPLPA787P3,0.031630693,0.038841289,0.020079776
CGPLPA787P4,0.026134234,0.058870515,0.028411051
CGPLPA787P5,0.061677755,0.042841138,0.021706928
CGPLPA787P9,0.988560191,0.757231896,0.972710032
CGPLPA788P,0.982050101,0.618340163,0.940125603
CGPLPA788P1,0.981931705,0.616341487,0.939820723
CGPLPA788P2,0.974162527,0.505218429,0.923527847
CGPLPA788P3,0.992123374,0.871717137,0.981685659
CGPLPA789P1,0.315440164,0.1015926,0.117284846
CGPLPA789P6,0.928958216,0.212092434,0.863903338
CGPLPA789P7,0.758947897,0.101993995,0.253358647
CGPLPA789P8,0.083015327,0.034702925,0.019826144
CGPLPA789P9,0.733923652,0.139394246,0.290318661
CGPLPA790P1,0.099631835,0.065484326,0.031750575
CGPLPA790P2,0.195467555,0.197378657,0.060474164
CGPLPA790P3,0.142890566,0.096509178,0.035557438
CGPLPA790P4,0.093987175,0.048892263,0.024304602
CGPLPA791P,0.092458932,0.056216999,0.057960269
CGPLPA791P1,0.024377804,0.047834557,0.02618575
CGPLPA791P2_1,0.980560004,0.593650017,0.949158958
CGPLPA792P,0.989950912,0.797039013,0.962769332
CGPLPA792P1,0.990243572,0.806109132,0.964047822
CGPLPA792P2,0.973035103,0.491895602,0.914102857
CGPLPA793P1,0.980581212,0.594100537,0.929862011
CGPLPA793P2,0.981848695,0.616706323,0.945498582
CGPLPA793P3,0.987062019,0.719572391,0.951949443
CGPLPA794P,0.575232788,0.664526103,0.170876797
CGPLPA794P1,0.666410631,0.617541451,0.153528642
CGPLPA794P2,0.058131757,0.051534806,0.020094063
CGPLPA794P3,0.103057105,0.136187296,0.145472627
CGPLPA794P4,0.062454235,0.040452726,0.018216734
CGPLPA794P5,0.197187381,0.146903358,0.076271339
CGPLPA796P,0.035447781,0.167099942,0.059264571
CGPLPA796P1,0.030353801,0.117834715,0.043121331
CGPLPA796P2,0.116761564,0.286038563,0.168080636
CGPLPA797P,0.025527403,0.049676335,0.026376924
CGPLPA797P1,0.028237636,0.058728709,0.02849329
CGPLPA797P2,0.074706815,0.095081386,0.043978214
CGPLPA797P3,0.03686705,0.061040667,0.030305885
CGPLPA797P4,0.033747197,0.054453447,0.019685157
CGPLPA797P5,0.156569828,0.240847443,0.06601726
CGPLPA797P6,0.071112689,0.184995809,0.06682151
CGPLPA797P7_1,0.039344893,0.058169211,0.031962707
