chr,start,end,arm,gc,map,filtered.bases
chr1,100001,200000,1p,0.33762,0.11939796750215,0
chr1,200001,300000,1p,0.15776,0.141736017695908,0
chr1,300001,400000,1p,0.33081,0.115786136069865,0
chr1,400001,500000,1p,0.32381,0.155589394193398,0
chr1,500001,600000,1p,0.35177,0.206954400074461,5841
chr1,600001,700000,1p,0.41919,0.123397577568486,0
chr1,700001,800000,1p,0.44117,0.544524034836579,2889
chr1,800001,900000,1p,0.56645,0.92080386555568,109
chr1,900001,1000000,1p,0.62134,0.973862773919049,0
chr1,1000001,1100000,1p,0.60348,0.946335074738065,0
chr1,1100001,1200000,1p,0.61372,0.97617345466703,0
chr1,1200001,1300000,1p,0.63522,0.96931190347449,0
chr1,1300001,1400000,1p,0.56191,0.946105844874482,0
chr1,1400001,1500000,1p,0.57733,0.8780078093924,0
chr1,1500001,1600000,1p,0.56394,0.87451934244283,0
chr1,1600001,1700000,1p,0.54508,0.77268759018888,0
chr1,1700001,1800000,1p,0.4719,0.982543020729418,0
chr1,1800001,1900000,1p,0.55347,0.984215122060657,97
chr1,1900001,2000000,1p,0.5631,0.975960665903339,0
chr1,2000001,2100000,1p,0.56204,0.978151646995638,0
chr1,2100001,2200000,1p,0.58005,0.988759516331736,0
chr1,2200001,2300000,1p,0.59617,0.961905882518009,0
chr1,2300001,2400000,1p,0.59949,0.995782264974789,0
chr1,2400001,2500000,1p,0.63479,0.978836328765489,0
chr1,2500001,2600000,1p,0.56884,0.875193954136086,0
chr1,2600001,2700000,1p,0.29783,0.55228901071919,0
chr1,2700001,2800000,1p,0.57215,0.992509981753975,0
chr1,2800001,2900000,1p,0.57392,0.987041166703254,0
chr1,2900001,3000000,1p,0.54605,0.993463200887906,0
chr1,3000001,3100000,1p,0.5828,0.989267519268394,0
chr1,3100001,3200000,1p,0.56805,0.979965690391385,0
chr1,3200001,3300000,1p,0.56969,0.986381750054806,0
chr1,3300001,3400000,1p,0.58308,0.990345081212964,0
chr1,3400001,3500000,1p,0.61924,0.996223995498167,0
chr1,3500001,3600000,1p,0.57064,0.981965394826452,0
chr1,3600001,3700000,1p,0.58669,0.989843547455054,523
chr1,3700001,3800000,1p,0.50102,0.981909378963661,0
chr1,3800001,3900000,1p,0.2379,0.97412621664607,0
chr1,3900001,4000000,1p,0.02223,0.979933946813037,0
chr1,4000001,4100000,1p,0.49664,0.990110102305121,0
chr1,4100001,4200000,1p,0.505,0.952611179449409,0
chr1,4200001,4300000,1p,0.47157,0.976169705266615,0
chr1,4300001,4400000,1p,0.4628,0.967764284666241,178
chr1,4400001,4500000,1p,0.47686,0.994149999835559,113
chr1,4500001,4600000,1p,0.47844,0.994659188579673,0
chr1,4600001,4700000,1p,0.47966,0.991381828669884,0
chr1,4700001,4800000,1p,0.52822,0.989135041018812,0
chr1,4800001,4900000,1p,0.47591,0.996531972796083,0
chr1,4900001,5000000,1p,0.44691,0.959189890719125,0
chr1,5000001,5100000,1p,0.44523,0.998802859351151,0
chr1,5100001,5200000,1p,0.41039,0.922665813823497,0
chr1,5200001,5300000,1p,0.43109,0.987392552261039,0
chr1,5300001,5400000,1p,0.46996,0.992516328093912,0
chr1,5400001,5500000,1p,0.48056,0.999004071499482,0
chr1,5500001,5600000,1p,0.49138,0.993641373358027,0
chr1,5600001,5700000,1p,0.43856,0.990067802627989,0
chr1,5700001,5800000,1p,0.49554,0.980827741688485,0
chr1,5800001,5900000,1p,0.51265,0.97025953713902,0
chr1,5900001,6000000,1p,0.51752,0.988739039679142,0
chr1,6000001,6100000,1p,0.52325,0.992455590725299,0
chr1,6100001,6200000,1p,0.55803,0.995859043923723,0
chr1,6200001,6300000,1p,0.5445,0.982078249810172,0
chr1,6300001,6400000,1p,0.56474,0.978757635026094,0
chr1,6400001,6500000,1p,0.53484,0.965641954292936,0
chr1,6500001,6600000,1p,0.57133,0.975294585462596,0
chr1,6600001,6700000,1p,0.53375,0.983764543725919,0
chr1,6700001,6800000,1p,0.46573,0.971580570958443,0
chr1,6800001,6900000,1p,0.43502,0.989428590276567,0
chr1,6900001,7000000,1p,0.44401,0.996761209066464,0
chr1,7000001,7100000,1p,0.47982,0.995259061929905,0
chr1,7100001,7200000,1p,0.4846,0.988701028815891,0
chr1,7200001,7300000,1p,0.4537,0.988252451802058,0
chr1,7300001,7400000,1p,0.43758,0.984386834457287,0
chr1,7400001,7500000,1p,0.49766,0.940547964033738,0
chr1,7500001,7600000,1p,0.5396,0.996004155281931,0
chr1,7600001,7700000,1p,0.52349,0.944975835221586,0
chr1,7700001,7800000,1p,0.52116,0.997453104143133,0
chr1,7800001,7900000,1p,0.4105,0.992679896748875,0
chr1,7900001,8000000,1p,0.4465,0.984881665868657,0
chr1,8000001,8100000,1p,0.44882,0.980328369471147,0
chr1,8100001,8200000,1p,0.43694,0.985724285645459,0
chr1,8200001,8300000,1p,0.47711,0.98777829846837,0
chr1,8300001,8400000,1p,0.47813,0.982434802786526,0
chr1,8400001,8500000,1p,0.47251,0.988552795785433,0
chr1,8500001,8600000,1p,0.42303,0.969494797829604,0
chr1,8600001,8700000,1p,0.39575,0.968329671781517,0
chr1,8700001,8800000,1p,0.40618,0.982632555948794,0
chr1,8800001,8900000,1p,0.42183,0.987265388204209,0
chr1,8900001,9000000,1p,0.48326,0.972461777940507,0
chr1,9000001,9100000,1p,0.49491,0.985358671984222,0
chr1,9100001,9200000,1p,0.48009,0.981831010216105,0
chr1,9200001,9300000,1p,0.50247,0.99059922792957,0
chr1,9300001,9400000,1p,0.53006,0.993473227208736,0
chr1,9400001,9500000,1p,0.52593,0.991230366797706,0
chr1,9500001,9600000,1p,0.49392,0.98132186987361,0
chr1,9600001,9700000,1p,0.50873,0.977129491133471,0
chr1,9700001,9800000,1p,0.51305,0.983976243959303,0
chr1,9800001,9900000,1p,0.47267,0.977064620304594,0
chr1,9900001,10000000,1p,0.49787,0.983042519456177,0
chr1,10000001,10100000,1p,0.46975,0.959220559518921,0
chr1,10100001,10200000,1p,0.43699,0.987497962894435,0
chr1,10200001,10300000,1p,0.44759,0.975346513109988,0
chr1,10300001,10400000,1p,0.40935,0.988695893604105,0
chr1,10400001,10500000,1p,0.46213,0.974799933384831,0
chr1,10500001,10600000,1p,0.46194,0.986318821534745,0
chr1,10600001,10700000,1p,0.46197,0.994151830561343,0
chr1,10700001,10800000,1p,0.58294,0.998645732730587,0
chr1,10800001,10900000,1p,0.53447,0.991400019069485,0
chr1,10900001,11000000,1p,0.51561,0.991157474787463,0
chr1,11000001,11100000,1p,0.49028,0.977370516092813,0
chr1,11100001,11200000,1p,0.48378,0.956421948352157,0
chr1,11200001,11300000,1p,0.43675,0.962123109696102,0
chr1,11300001,11400000,1p,0.49536,0.972805134924744,0
chr1,11400001,11500000,1p,0.49489,0.985960028048926,0
chr1,11500001,11600000,1p,0.52835,0.994802099344186,0
chr1,11600001,11700000,1p,0.50169,0.989211873158971,0
chr1,11700001,11800000,1p,0.53789,0.990108010574438,0
chr1,11800001,11900000,1p,0.51818,0.989162160146687,0
chr1,11900001,12000000,1p,0.51326,0.977278426400124,0
chr1,12000001,12100000,1p,0.52254,0.976583222680052,0
chr1,12100001,12200000,1p,0.5053,0.981002848562098,0
chr1,12200001,12300000,1p,0.52499,0.991311371865354,0
chr1,12300001,12400000,1p,0.41709,0.99188043447408,0
chr1,12400001,12500000,1p,0.41155,0.98963867595316,0
chr1,12500001,12600000,1p,0.44926,0.991579787801476,0
chr1,12600001,12700000,1p,0.51621,0.990200559467528,0
chr1,12700001,12800000,1p,0.44264,0.971796323168764,0
chr1,12800001,12900000,1p,0.44752,0.794071183083133,0
chr1,12900001,13000000,1p,0.45468,0.443370780444056,0
chr1,13000001,13100000,1p,0.24141,0.305337667714462,0
chr1,13100001,13200000,1p,0.44425,0.477743757844511,0
chr1,13200001,13300000,1p,0.09461,0.438745826569046,0
chr1,13300001,13400000,1p,0.36937,0.330492076802517,0
chr1,13400001,13500000,1p,0.46195,0.350103564732884,0
chr1,13500001,13600000,1p,0.2688,0.492697160387289,0
chr1,13600001,13700000,1p,0.4283,0.322553032898449,0
chr1,13700001,13800000,1p,0.47359,0.583812321600859,0
chr1,13800001,13900000,1p,0.47646,0.979617954246669,0
chr1,13900001,14000000,1p,0.45048,0.965817479394272,0
chr1,14000001,14100000,1p,0.40818,0.986773030487302,0
chr1,14100001,14200000,1p,0.45444,0.988232629303417,0
chr1,14200001,14300000,1p,0.44177,0.990678045040099,0
chr1,14300001,14400000,1p,0.42193,0.966529779440498,0
chr1,14400001,14500000,1p,0.43068,0.993949523625554,0
chr1,14500001,14600000,1p,0.41055,0.986730367781723,0
chr1,14600001,14700000,1p,0.42187,0.972706192001595,0
chr1,14700001,14800000,1p,0.43178,0.942840507318243,0
chr1,14800001,14900000,1p,0.43437,0.989595404288227,0
chr1,14900001,15000000,1p,0.45705,0.99546843073399,0
chr1,15000001,15100000,1p,0.47228,0.996379851443071,0
chr1,15100001,15200000,1p,0.48408,0.994166403568133,0
chr1,15200001,15300000,1p,0.50407,0.988824042057926,0
chr1,15300001,15400000,1p,0.51928,0.987414254048262,0
chr1,15400001,15500000,1p,0.49496,0.991963825012147,0
chr1,15500001,15600000,1p,0.46428,0.986157692625387,0
chr1,15600001,15700000,1p,0.48016,0.987072916173743,0
chr1,15700001,15800000,1p,0.51032,0.975420885336646,0
chr1,15800001,15900000,1p,0.45967,0.978833494763768,0
chr1,15900001,16000000,1p,0.4492,0.985021586620965,0
chr1,16000001,16100000,1p,0.53526,0.988358410444684,0
chr1,16100001,16200000,1p,0.4765,0.973489452408035,0
chr1,16200001,16300000,1p,0.45462,0.993630877796716,0
chr1,16300001,16400000,1p,0.55541,0.945752018975251,27
chr1,16400001,16500000,1p,0.54362,0.980585892073838,0
chr1,16500001,16600000,1p,0.50903,0.993708867968785,0
chr1,16600001,16700000,1p,0.44762,0.97677004351524,0
chr1,16700001,16800000,1p,0.48976,0.989388935717255,0
chr1,16800001,16900000,1p,0.47367,0.654523301807967,0
chr1,16900001,17000000,1p,0.47648,0.629141456658021,0
chr1,17000001,17100000,1p,0.5024,0.680065196399241,0
chr1,17100001,17200000,1p,0.22638,0.508720335497377,0
chr1,17200001,17300000,1p,0.51566,0.885947189406492,0
chr1,17300001,17400000,1p,0.50445,0.985524688707519,0
chr1,17400001,17500000,1p,0.49852,0.990312761280592,0
chr1,17500001,17600000,1p,0.51009,0.994147112848759,346
chr1,17600001,17700000,1p,0.49019,0.987607904349522,0
chr1,17700001,17800000,1p,0.50917,0.978102216627453,0
chr1,17800001,17900000,1p,0.50833,0.985013004971298,0
chr1,17900001,18000000,1p,0.54918,0.997621201058298,0
chr1,18000001,18100000,1p,0.51926,0.995074446746949,0
chr1,18100001,18200000,1p,0.48201,0.994575816131687,0
chr1,18200001,18300000,1p,0.48422,0.996398360869672,0
chr1,18300001,18400000,1p,0.48339,0.99674171216926,0
chr1,18400001,18500000,1p,0.50376,0.981149469854745,0
chr1,18500001,18600000,1p,0.48985,0.998389950277707,0
chr1,18600001,18700000,1p,0.49789,0.997116411700821,0
chr1,18700001,18800000,1p,0.47723,0.990581035830107,0
chr1,18800001,18900000,1p,0.474,0.994028966898642,0
chr1,18900001,19000000,1p,0.50452,0.990035097742184,0
chr1,19000001,19100000,1p,0.50515,0.997247642783346,0
chr1,19100001,19200000,1p,0.50917,0.993976097346482,0
chr1,19200001,19300000,1p,0.53328,0.994944455970716,0
chr1,19300001,19400000,1p,0.48947,0.996104177199714,0
chr1,19400001,19500000,1p,0.44723,0.997431719185486,0
chr1,19500001,19600000,1p,0.45557,0.985018930174462,0
chr1,19600001,19700000,1p,0.51547,0.981904963107057,0
chr1,19700001,19800000,1p,0.47719,0.992215870593916,0
chr1,19800001,19900000,1p,0.46031,0.978047203973008,0
chr1,19900001,20000000,1p,0.48037,0.990002392061879,0
chr1,20000001,20100000,1p,0.4959,0.990097667619767,0
chr1,20100001,20200000,1p,0.44769,0.992395124169039,0
chr1,20200001,20300000,1p,0.44925,0.989079303854005,0
chr1,20300001,20400000,1p,0.42229,0.966228751079622,0
chr1,20400001,20500000,1p,0.49734,0.989892263733586,0
chr1,20500001,20600000,1p,0.46,0.995905817762902,0
chr1,20600001,20700000,1p,0.50273,0.996531884743262,0
chr1,20700001,20800000,1p,0.48365,0.99769215764871,0
chr1,20800001,20900000,1p,0.4897,0.988531372262086,0
chr1,20900001,21000000,1p,0.48951,0.983747442500234,0
chr1,21000001,21100000,1p,0.4924,0.988064595484615,0
chr1,21100001,21200000,1p,0.41705,0.948887678624644,0
chr1,21200001,21300000,1p,0.37763,0.987893472077864,0
chr1,21300001,21400000,1p,0.38884,0.967195906843438,0
chr1,21400001,21500000,1p,0.40143,0.970044651441814,0
chr1,21500001,21600000,1p,0.49589,0.986466917278882,0
chr1,21600001,21700000,1p,0.51302,0.98943850436733,0
chr1,21700001,21800000,1p,0.45767,0.855383745296819,0
chr1,21800001,21900000,1p,0.49877,0.941407498111438,0
chr1,21900001,22000000,1p,0.56264,0.991874347264198,0
chr1,22000001,22100000,1p,0.41506,0.991190494125742,0
chr1,22100001,22200000,1p,0.52741,0.98638628709667,0
chr1,22200001,22300000,1p,0.53592,0.977536506842913,0
chr1,22300001,22400000,1p,0.47938,0.888125803305579,0
chr1,22400001,22500000,1p,0.49183,0.98729051727805,0
chr1,22500001,22600000,1p,0.51678,0.994864764912994,0
chr1,22600001,22700000,1p,0.48584,0.997568796163546,68
chr1,22700001,22800000,1p,0.4519,0.993752765751474,0
chr1,22800001,22900000,1p,0.48077,0.995769413756528,0
chr1,22900001,23000000,1p,0.52979,0.998046540298313,0
chr1,23000001,23100000,1p,0.50973,0.990371997505264,0
chr1,23100001,23200000,1p,0.51778,0.997357711513355,0
chr1,23200001,23300000,1p,0.49587,0.982454177250291,0
chr1,23300001,23400000,1p,0.41574,0.984615661014203,0
chr1,23400001,23500000,1p,0.42953,0.99185092077524,0
chr1,23500001,23600000,1p,0.47579,0.975166634072861,0
chr1,23600001,23700000,1p,0.41122,0.985360145282095,0
chr1,23700001,23800000,1p,0.48957,0.987190863234684,0
chr1,23800001,23900000,1p,0.49977,0.977006437236018,0
chr1,23900001,24000000,1p,0.48411,0.982749470777508,0
chr1,24000001,24100000,1p,0.4656,0.968956655988652,0
chr1,24100001,24200000,1p,0.47655,0.960031581405883,0
chr1,24200001,24300000,1p,0.45383,0.964081272254954,0
chr1,24300001,24400000,1p,0.46369,0.945451159978598,0
chr1,24400001,24500000,1p,0.50671,0.993079011743324,0
chr1,24500001,24600000,1p,0.46893,0.977531022642659,0
chr1,24600001,24700000,1p,0.48551,0.993892675226988,0
chr1,24700001,24800000,1p,0.437,0.994807526401406,0
chr1,24800001,24900000,1p,0.44925,0.98901633049295,0
chr1,24900001,25000000,1p,0.44,0.980817021188374,0
chr1,25000001,25100000,1p,0.47111,0.983784006159204,0
chr1,25100001,25200000,1p,0.43343,0.95035567059237,0
chr1,25200001,25300000,1p,0.52325,0.997575368124005,0
chr1,25300001,25400000,1p,0.52114,0.969645471703231,0
chr1,25400001,25500000,1p,0.46449,0.992296514557935,113
chr1,25500001,25600000,1p,0.46803,0.937469137479188,0
chr1,25600001,25700000,1p,0.45383,0.742972374584375,0
chr1,25700001,25800000,1p,0.44195,0.839765183738979,0
chr1,25800001,25900000,1p,0.49033,0.933582596727274,0
chr1,25900001,26000000,1p,0.47498,0.975781996017501,0
chr1,26000001,26100000,1p,0.49591,0.994481347899433,0
chr1,26100001,26200000,1p,0.49782,0.992675834652,0
chr1,26200001,26300000,1p,0.47378,0.98848107598511,0
chr1,26300001,26400000,1p,0.50221,0.992722532439573,0
chr1,26400001,26500000,1p,0.46997,0.988577960320093,0
chr1,26500001,26600000,1p,0.4786,0.987868715878587,0
chr1,26600001,26700000,1p,0.53114,0.991071454645496,0
chr1,26700001,26800000,1p,0.46482,0.980774080345393,0
chr1,26800001,26900000,1p,0.5018,0.971493347185815,0
chr1,26900001,27000000,1p,0.45439,0.942985046085305,0
chr1,27000001,27100000,1p,0.45532,0.98983395159554,0
chr1,27100001,27200000,1p,0.50336,0.948517633680785,0
chr1,27200001,27300000,1p,0.49066,0.980369067160758,0
chr1,27300001,27400000,1p,0.51251,0.967622923659671,0
chr1,27400001,27500000,1p,0.50234,0.985550217500517,0
chr1,27500001,27600000,1p,0.45077,0.969283243244259,0
chr1,27600001,27700000,1p,0.51734,0.975874183114752,0
chr1,27700001,27800000,1p,0.47292,0.976651562471172,0
chr1,27800001,27900000,1p,0.52391,0.987170775503171,0
chr1,27900001,28000000,1p,0.52675,0.991371461797489,0
chr1,28000001,28100000,1p,0.44224,0.982380924791166,0
chr1,28100001,28200000,1p,0.45039,0.948520681437093,0
chr1,28200001,28300000,1p,0.48354,0.980074265167396,71
chr1,28300001,28400000,1p,0.39492,0.989222312786173,0
chr1,28400001,28500000,1p,0.44959,0.978084938531171,0
chr1,28500001,28600000,1p,0.46396,0.982734450615282,0
chr1,28600001,28700000,1p,0.46234,0.974827393416716,0
chr1,28700001,28800000,1p,0.422,0.978263340501223,0
chr1,28800001,28900000,1p,0.47574,0.9721549188293,0
chr1,28900001,29000000,1p,0.4789,0.964500827508002,0
chr1,29000001,29100000,1p,0.44737,0.970653137994184,0
chr1,29100001,29200000,1p,0.49509,0.985872189706988,0
chr1,29200001,29300000,1p,0.4466,0.988357111348517,0
chr1,29300001,29400000,1p,0.39636,0.978335368811184,0
chr1,29400001,29500000,1p,0.45964,0.981140122912641,0
chr1,29500001,29600000,1p,0.49153,0.988348504015129,0
chr1,29600001,29700000,1p,0.50667,0.977685583347016,0
chr1,29700001,29800000,1p,0.47962,0.967570896822716,0
chr1,29800001,29900000,1p,0.3777,0.994070677671941,0
chr1,29900001,30000000,1p,0,0,0
chr1,30000001,30100000,1p,0.33158,0.991636738481384,0
chr1,30100001,30200000,1p,0.48969,0.985362821180455,0
chr1,30200001,30300000,1p,0.467,0.989721272126823,0
chr1,30300001,30400000,1p,0.47953,0.99611465410421,0
chr1,30400001,30500000,1p,0.46771,0.978344800009595,0
chr1,30500001,30600000,1p,0.50241,0.998990666668564,0
chr1,30600001,30700000,1p,0.45714,0.989480191413756,0
chr1,30700001,30800000,1p,0.48352,0.989050972186351,0
chr1,30800001,30900000,1p,0.49015,0.984092398002087,79
chr1,30900001,31000000,1p,0.47471,0.865718725117358,0
chr1,31000001,31100000,1p,0.44026,0.959867492766407,0
chr1,31100001,31200000,1p,0.5176,0.994991849361584,0
chr1,31200001,31300000,1p,0.52337,0.994133687769513,149
chr1,31300001,31400000,1p,0.51181,0.991393508957084,0
chr1,31400001,31500000,1p,0.40333,0.98925523894054,0
chr1,31500001,31600000,1p,0.44797,0.984734820463324,0
chr1,31600001,31700000,1p,0.49579,0.969977598453231,0
