id,chr,start,end,bin,arm,gc,map,short,long,short.cor,long.cor,ultrashort,ultrashort.cor,multinucs,multinucs.cor,mediansize,frag.gc,filtered.bases,ratio,ratio.cor
CGH17N_21,chr1,5000001,10000000,1,1p,0.482519,0.982374221676362,7517,9840,20719.838339972,27698.5008651967,751,2031.14626130496,2003,5677.13843236403,155,0.4883501566307,0,0.43308175375929,0.427933685461069
CGH17N_21,chr1,15000001,20000000,2,1p,0.4880796,0.961141657767262,7689,10084,21140.1371771276,28153.5429174733,803,2196.31642178436,1926,5411.55430713836,155,0.498980099502488,373,0.432622517301525,0.428861004829766
CGH17N_21,chr1,20000001,25000000,3,1p,0.4726852,0.978981585353628,7516,9872,21025.9656468849,27993.1564124768,841,2323.9264419929,1957,5597.53694530707,155,0.479091449519469,68,0.432252127904302,0.428933949927187
CGH17N_21,chr1,25000001,30000000,4,1p,0.4638612,0.969469351176973,7063,9013,19710.9650561369,25613.5668495562,756,2087.52224880682,2170,6197.23717251271,155,0.479568992737607,184,0.439350584722568,0.434885132341787
CGH17N_21,chr1,30000001,35000000,5,1p,0.4659504,0.978487369354674,7311,10183,20601.3946393856,28996.5340661913,797,2216.92389267389,1849,5317.07554859247,156,0.47443594836147,308,0.417914713616097,0.415368044131027
CGH17N_21,chr1,35000001,40000000,6,1p,0.4568564,0.978907093122177,7208,9823,20450.755728107,28257.9283019682,816,2284.47662635946,1914,5548.22198550653,155,0.463154192601589,111,0.423228230873114,0.419858514664032
CGH17N_21,chr1,40000001,45000000,7,1p,0.4545124,0.977829035213107,7323,9585,20738.0937303305,27581.5759465601,817,2299.8260609005,2029,5857.08037565624,155,0.461166852283082,754,0.433108587650816,0.429185337337865
CGH17N_21,chr1,45000001,50000000,8,1p,0.4367456,0.954996470468469,6561,9585,18842.7789249036,27913.5599913527,772,2189.96031932996,1770,5177.96514117692,157,0.445856699486301,98,0.406354515050167,0.402999451232747
CGH17N_21,chr1,50000001,55000000,9,1p,0.4282668,0.97512507308497,6859,9300,19722.0363960468,27124.5570327594,775,2211.47138084127,1983,5839.48552345271,156,0.438295712850875,0,0.424469335973761,0.42099190042535
CGH17N_21,chr1,55000001,60000000,10,1p,0.4166452,0.975219751943121,6574,9720,19274.5706758063,28778.4914907467,687,1996.14088459405,1851,5512.33980120139,158,0.423999044180119,63,0.40346139683319,0.40111014380312
CGH17N_21,chr1,60000001,65000000,11,1p,0.399688,0.97236809324608,6169,9256,18216.5980059647,27597.2068357348,671,1960.83272035455,1873,5639.03325536796,158,0.406380432967889,0,0.399935170178282,0.397622464864216
CGH17N_21,chr1,65000001,70000000,12,1p,0.390125,0.967381664847973,6068,9206,18027.6473595078,27603.0099811175,666,1965.5138790549,1842,5557.35289301602,158,0.396403104262738,735,0.397276417441404,0.395077529235102
CGH17N_21,chr1,70000001,75000000,13,1p,0.3587176,0.972264005053379,5417,8497,16243.1189144249,25639.1734712833,579,1721.2975012858,1817,5539.51827915456,160,0.365354383813611,0,0.38932010924249,0.387827838190816
CGH17N_21,chr1,75000001,80000000,14,1p,0.3775974,0.96564769268667,5806,8918,17325.595664658,26852.8348903692,588,1737.92279731555,1792,5446.93205320045,159,0.383448316183349,134,0.394322195055691,0.392173181504893
CGH17N_21,chr1,80000001,85000000,15,1p,0.3646858,0.947519129161617,5461,8150,16347.9573230141,24603.0881794541,595,1768.49797974822,1720,5230.63268662034,158,0.372004897651639,215,0.401219601792668,0.399207324805145
CGH17N_21,chr1,85000001,90000000,16,1p,0.3871608,0.968679244033096,5990,9030,17794.3313747429,27097.3166101017,698,2067.48905953012,1869,5642.25036601903,158,0.392651958833229,0,0.398801597869507,0.396384008463005
CGH17N_21,chr1,90000001,95000000,17,1p,0.399986,0.963605927586828,6289,9105,18558.1065340398,27115.7936301988,739,2144.81768519799,1981,5946.63042871018,157,0.406760516727393,437,0.408535793166169,0.406317535119768
CGH17N_21,chr1,95000001,100000000,18,1p,0.3738138,0.971823213636356,5835,8781,17416.5132191352,26383.0904597575,648,1918.47934513764,1904,5786.23772566854,158,0.381069431500466,0,0.399220032840723,0.397640886132682
CGH17N_21,chr1,100000001,105000000,19,1p,0.359991,0.936923050045331,5331,7915,15913.0722656368,23818.9394442059,548,1628.85012540851,1760,5347.94729229486,158,0.371831040246882,14251,0.402461120338215,0.400510107110803
