id,chr,start,end,bin,arm,gc,map,short,long,short.cor,long.cor,ultrashort,ultrashort.cor,multinucs,multinucs.cor,mediansize,frag.gc,filtered.bases,ratio,ratio.cor
CGPLPA639P_1,chr1,5000001,10000000,1,1p,0.482519,0.982374221676362,18375,22740,21248.0060741413,26370.9039808455,364,418.642617800174,2314,2668.76058531084,155,0.482984495238965,0,0.446917183509668,0.446209416586933
CGPLPA639P_1,chr1,15000001,20000000,2,1p,0.4880796,0.961141657767262,18840,23155,21695.641052951,26753.4899699381,362,418.272267355839,2425,2793.01742194581,155,0.493888839265776,373,0.448624836290035,0.447802480558447
CGPLPA639P_1,chr1,20000001,25000000,3,1p,0.4726852,0.978981585353628,18460,22657,21318.2925016354,26258.4831855481,353,408.100428560308,2325,2674.33710254166,155,0.474568101381436,68,0.44896271615147,0.448081909581323
CGPLPA639P_1,chr1,25000001,30000000,4,1p,0.4638612,0.969469351176973,17315,20340,19977.950495567,23570.1156426782,333,383.045693597956,2397,2762.41608231847,155,0.475865544137675,184,0.459832691541628,0.458756318412536
CGPLPA639P_1,chr1,30000001,35000000,5,1p,0.4659504,0.978487369354674,18810,24202,21708.2097444713,28040.9875003894,341,391.983916237871,2318,2666.09143310944,156,0.471752315473714,308,0.437319817725286,0.436352965408177
CGPLPA639P_1,chr1,35000001,40000000,6,1p,0.4568564,0.978907093122177,18622,23211,21488.6131995784,26965.5407709429,329,384.909040901977,2360,2714.97813585543,155,0.460109384124702,111,0.445150957378146,0.443483405213343
CGPLPA639P_1,chr1,40000001,45000000,7,1p,0.4545124,0.977829035213107,18783,23143,21676.6760304644,26910.3255565672,358,410.320249295421,2402,2767.77557815656,155,0.457634158349371,754,0.448003625435291,0.446141464227546
CGPLPA639P_1,chr1,45000001,50000000,8,1p,0.4367456,0.954996470468469,18301,23418,21105.9361951682,27236.755744152,321,367.36922115381,2264,2605.51050680339,156,0.441931202600217,98,0.438673026678492,0.436590006647962
CGPLPA639P_1,chr1,50000001,55000000,9,1p,0.4282668,0.97512507308497,17802,22741,20677.804227502,26662.4708853181,271,311.68568287786,2302,2688.49949618438,156,0.434520363670099,0,0.439089361912044,0.436790960302263
CGPLPA639P_1,chr1,55000001,60000000,10,1p,0.4166452,0.975219751943121,18708,24640,21519.3983647326,28564.4252845484,293,335.031546037008,2274,2618.93202428054,156,0.423998039856256,63,0.4315770047061,0.42966764110155
CGPLPA639P_1,chr1,60000001,65000000,11,1p,0.399688,0.97236809324608,17848,23476,20719.5222237715,27612.0075721704,275,313.848675818575,2007,2355.07448012957,156,0.406708709810577,0,0.431903978317685,0.428695766743787
CGPLPA639P_1,chr1,65000001,70000000,12,1p,0.390125,0.967381664847973,17519,23247,20378.5948932764,27378.1974264245,221,251.781522127602,2118,2500.60166403591,156,0.398595522561188,735,0.429745376048668,0.426716157083057
CGPLPA639P_1,chr1,70000001,75000000,13,1p,0.3587176,0.972264005053379,15695,21977,18593.8192399553,26782.9642000588,187,214.595421884628,1721,2116.75823852694,157,0.372442395149065,0,0.416622425143343,0.409765034679803
CGPLPA639P_1,chr1,75000001,80000000,14,1p,0.3775974,0.96564769268667,16768,22759,19618.1504866442,27129.8885861533,215,260.523404696117,1902,2259.33369305491,156,0.387245221400442,134,0.424216358438536,0.419657185108753
CGPLPA639P_1,chr1,80000001,85000000,15,1p,0.3646858,0.947519129161617,15638,21892,18438.416713722,26485.3899538981,190,217.358840050562,1723,2083.13183493792,157,0.377518190806987,215,0.41667998934186,0.410437540392407
CGPLPA639P_1,chr1,85000001,90000000,16,1p,0.3871608,0.968679244033096,17380,23156,20255.0353647287,27374.6444327197,224,257.743230776884,2035,2391.26205723297,156,0.395274214277369,0,0.428754687191632,0.425260792238494
CGPLPA639P_1,chr1,90000001,95000000,17,1p,0.399986,0.963605927586828,17153,22564,19957.3225947602,26624.5254014694,248,285.966874868312,2079,2432.1752843197,156,0.407768052516411,437,0.431880554926102,0.428435612867389
