id,chr,start,end,bin,arm,gc,map,short,long,short.cor,long.cor,ultrashort,ultrashort.cor,multinucs,multinucs.cor,mediansize,frag.gc,filtered.bases,ratio,ratio.cor
CGH16N_23,chr1,5000001,10000000,1,1p,0.482519,0.982374221676362,16300,18817,22829.1528487659,26583.5889091564,565,776.416313979053,3697,5233.00431940472,154,0.485966631961198,0,0.464162656263348,0.46200943393524
CGH16N_23,chr1,15000001,20000000,2,1p,0.4880796,0.961141657767262,16428,18941,22956.6680591358,26701.408810027,559,774.552829840504,3604,5076.67916690153,154,0.496405190731559,373,0.464474539851282,0.462294746524743
CGH16N_23,chr1,20000001,25000000,3,1p,0.4726852,0.978981585353628,15970,19024,22529.3202907824,27024.3456428804,526,731.027801603446,3688,5248.81283827344,154,0.474798765558049,68,0.45636394810539,0.454644875738201
CGH16N_23,chr1,25000001,30000000,4,1p,0.4638612,0.969469351176973,15598,17288,21973.5373605218,24541.792922611,449,624.928024491722,4181,5931.72055532056,154,0.477124693464122,184,0.474305175454601,0.472393450218922
CGH16N_23,chr1,30000001,35000000,5,1p,0.4659504,0.978487369354674,16144,19670,22808.0724347074,27991.7295941009,491,688.543254802564,3704,5270.40287399502,155,0.472262240995776,308,0.450773440553973,0.448979553537887
CGH16N_23,chr1,35000001,40000000,6,1p,0.4568564,0.978907093122177,15811,19106,22439.6822753983,27293.0874391694,454,634.987892697848,3673,5245.41495746481,155,0.460739678311648,111,0.452816679554372,0.451205159177477
CGH16N_23,chr1,40000001,45000000,7,1p,0.4545124,0.977829035213107,15779,19026,22373.046265684,27180.0961030348,499,696.755565710453,3995,5714.67330827233,155,0.46005318201481,754,0.453354403103003,0.451496014101567
CGH16N_23,chr1,45000001,50000000,8,1p,0.4367456,0.954996470468469,14770,18909,21089.0474005192,27212.6976726146,435,618.523070172565,3629,5230.08738422875,156,0.442640224677424,98,0.438552213545533,0.436610465493291
CGH16N_23,chr1,50000001,55000000,9,1p,0.4282668,0.97512507308497,14979,18624,21420.6174200394,26820.3117364409,444,623.628967113875,3699,5354.61075321527,155,0.434429078577863,0,0.445763771091867,0.44403409707464
CGH16N_23,chr1,55000001,60000000,10,1p,0.4166452,0.975219751943121,14478,19961,20870.2067439959,28932.5390707171,438,628.816907693224,3407,4950.33899353862,156,0.423037822589071,63,0.420395481866489,0.419057351207939
CGH16N_23,chr1,60000001,65000000,11,1p,0.399688,0.97236809324608,13734,19587,19886.9877687128,28509.7525752613,384,552.898720106527,3501,5112.58906349392,157,0.404598183088749,0,0.412172503826416,0.41091585150918
CGH16N_23,chr1,65000001,70000000,12,1p,0.390125,0.967381664847973,13323,19178,19307.7721953089,27967.071897819,361,520.517694006538,3545,5195.08786884298,158,0.39543549317439,735,0.409925848435433,0.40841535420559
CGH16N_23,chr1,70000001,75000000,13,1p,0.3587176,0.972264005053379,12221,18321,17823.4405739708,26815.2542915154,273,396.189791618564,3486,5129.82320461687,159,0.365483805136876,0,0.400137515552354,0.399282295947042
CGH16N_23,chr1,75000001,80000000,14,1p,0.3775974,0.96564769268667,13227,18910,19238.0554573131,27639.3779297979,312,448.528534312465,3513,5160.16093234382,158,0.383762860797509,134,0.41158166599247,0.410390545455986
CGH16N_23,chr1,80000001,85000000,15,1p,0.3646858,0.947519129161617,11788,18212,17169.5290665548,26632.2091748432,276,399.889275730506,3338,4915.14763248569,159,0.370272505503659,215,0.392933333333333,0.391982824332928
CGH16N_23,chr1,85000001,90000000,16,1p,0.3871608,0.968679244033096,13590,19188,19713.3396726755,27998.2415779914,348,502.915514708416,3580,5246.51661882697,157,0.392369639840898,0,0.414607358594179,0.413177244516498
CGH16N_23,chr1,90000001,95000000,17,1p,0.399986,0.963605927586828,13787,18855,19927.9798139839,27403.4800936054,342,490.040097228582,3678,5361.25329536125,157,0.405670176204244,437,0.422369952821518,0.421030322176658
CGH16N_23,chr1,95000001,100000000,18,1p,0.3738138,0.971823213636356,13157,18952,19132.9710345696,27674.8262021354,348,502.331166695188,3563,5237.62272739554,158,0.380908384230983,0,0.409760503285683,0.408756065529317
CGH16N_23,chr1,100000001,105000000,19,1p,0.359991,0.936923050045331,11702,17012,17021.7213038535,24845.8713658052,272,396.259405329654,3247,4769.15928513318,158,0.371387087767195,14251,0.407536393396949,0.406560784092778
CGH16N_23,chr1,105000001,110000000,20,1p,0.3749756,0.950155843505622,12321,17930,17846.9093787793,26102.9090501951,343,495.623053386454,3455,5047.25233162062,158,0.382566007812271,771,0.407292320915011,0.406074701027969
