id,chr,start,end,bin,arm,gc,map,short,long,short.cor,long.cor,ultrashort,ultrashort.cor,multinucs,multinucs.cor,mediansize,frag.gc,filtered.bases,ratio,ratio.cor
CGPLPA766P,chr1,5000001,10000000,1,1p,0.482519,0.982374221676362,16304,38705,12875.5044702184,30587.7724952251,203,156.611307615566,2064,1610.97144326174,160,0.495187338501292,0,0.296387863804105,0.296238695495864
CGPLPA766P,chr1,15000001,20000000,2,1p,0.4880796,0.961141657767262,18283,42617,14134.9962273705,32943.0451133751,226,169.0670515278,2572,1960.21800809878,160,0.504795127005558,373,0.300213464696223,0.300246055800473
CGPLPA766P,chr1,20000001,25000000,3,1p,0.4726852,0.978981585353628,15814,38073,12607.7051583794,30305.7039724755,204,156.127839876369,2120,1678.00878283862,161,0.486662219138603,68,0.293465956538683,0.293794070751522
CGPLPA766P,chr1,25000001,30000000,4,1p,0.4638612,0.969469351176973,16191,35887,12853.6716771977,28542.9720027677,191,146.925162609317,2514,1976.78203224588,160,0.486634904988774,184,0.310899036061293,0.310500333712282
CGPLPA766P,chr1,30000001,35000000,5,1p,0.4659504,0.978487369354674,17917,42634,14339.6003519491,34208.4579236611,203,158.103360511622,2422,1924.22748820771,160,0.481819203494998,308,0.295899324536341,0.295369183882543
CGPLPA766P,chr1,35000001,40000000,6,1p,0.4568564,0.978907093122177,20596,46970,16747.0839164656,38232.3811243834,222,174.054950311578,2923,2365.22731186821,160,0.471761112132483,111,0.304827872006631,0.304606163483453
CGPLPA766P,chr1,40000001,45000000,7,1p,0.4545124,0.977829035213107,23417,50094,19173.3723508262,41156.0633109043,250,195.097967933831,3573,2897.71939492155,160,0.468953371091629,754,0.318550965161676,0.317811233281413
CGPLPA766P,chr1,45000001,50000000,8,1p,0.4367456,0.954996470468469,21005,47135,17584.0588866208,39699.6112159163,217,177.186835541576,3064,2532.42252010884,160,0.45302334047409,98,0.308262400939243,0.306964600123308
CGPLPA766P,chr1,50000001,55000000,9,1p,0.4282668,0.97512507308497,16722,39010,14231.6352150665,33382.1848167081,172,139.088141243279,2103,1769.00857110467,160,0.447212233006361,0,0.300043063231178,0.298897152246326
CGPLPA766P,chr1,55000001,60000000,10,1p,0.4166452,0.975219751943121,15135,37716,13076.2599303587,32810.8702664869,164,136.000616812027,1688,1459.1593323723,161,0.431616547538526,63,0.286371118805699,0.284965738198586
CGPLPA766P,chr1,60000001,65000000,11,1p,0.399688,0.97236809324608,14547,35361,12986.1481956507,31676.8144185376,150,126.624602871594,1596,1416.64401809536,160,0.416057226933055,0,0.291476316422217,0.290758772717986
CGPLPA766P,chr1,65000001,70000000,12,1p,0.390125,0.967381664847973,13678,34544,12366.0273052542,31581.3757935033,142,119.268314181383,1480,1335.71431295553,161,0.406746248294679,735,0.283646468416905,0.281382435213874
CGPLPA766P,chr1,70000001,75000000,13,1p,0.3587176,0.972264005053379,12502,32286,11976.558095819,31346.5564280723,105,93.3637138356216,1157,1117.20256502755,161,0.378796525515744,0,0.279137268911316,0.27644730134105
